state,electoral_votes,biden,trump,winning_party
alabama,9,,9,republican
alaska,3,,3,republican
arizona,11,11,,democrat
arkansas,6,,6,republican
california,55,55,,democrat
colorado,9,9,,democrat
connecticut,7,7,,democrat
delaware,3,3,,democrat
districtofcolumbia,3,3,,democrat
florida,29,,29,republican
georgia,16,16,,democrat
hawaii,4,4,,democrat
idaho,4,,4,republican
illinois,20,20,,democrat
indiana,11,,11,republican
iowa,6,,6,republican
kansas,6,,6,republican
kentucky,8,,8,republican
louisiana,8,,8,republican
maine,4,3,1,democrat
maryland,10,10,,democrat
massachusetts,11,11,,democrat
michigan,16,16,,democrat
minnesota,10,10,,democrat
mississippi,6,,6,republican
missouri,10,,10,republican
montana,3,,3,republican
nebraska,5,1,4,republican
nevada,6,6,,democrat
newhampshire,4,4,,democrat
newjersey,14,14,,democrat
newmexico,5,5,,democrat
newyork,29,29,,democrat
northcarolina,15,,15,republican
northdakota,3,,3,republican
ohio,18,,18,republican
oklahoma,7,,7,republican
oregon,7,7,,democrat
pennsylvania,20,20,,democrat
rhodeisland,4,4,,democrat
southcarolina,9,,9,republican
southdakota,3,,3,republican
tennessee,11,,11,republican
texas,38,,38,republican
utah,6,,6,republican
vermont,3,3,,democrat
virginia,13,13,,democrat
washington,12,12,,democrat
wisconsin,10,10,,democrat
westvirginia,5,,5,republican
wyoming,3,,3,republican
puertorico,0,0,0,none
americansamoa,0,0,0,none
northernmarianaislands,0,0,0,none
guam,0,0,0,none
districtofcolumbia,3,3,0,democrat